greedy decoded_output:only, ctc decoded_output: money, target:money, probability: 0.3224313812202824
greedy decoded_output:allow, ctc decoded_output: allow, target:allow, probability: 0.7319075235607052
greedy decoded_output:around, ctc decoded_output: allow, target:allow, probability: 0.13358815694202655
greedy decoded_output:open, ctc decoded_output: open, target:open, probability: 0.6034031128147026
greedy decoded_output:open, ctc decoded_output: open, target:open, probability: 0.7108599404766394
greedy decoded_output:about, ctc decoded_output: around, target:around, probability: 0.5354476334387163
greedy decoded_output:around, ctc decoded_output: around, target:around, probability: 0.43481122865087274
greedy decoded_output:around, ctc decoded_output: around, target:around, probability: 0.40386449385070816
greedy decoded_output:very, ctc decoded_output: very, target:every, probability: 0.22101829615097177
greedy decoded_output:every, ctc decoded_output: every, target:every, probability: 0.4702227318034623
greedy decoded_output:every, ctc decoded_output: every, target:every, probability: 0.5243399653192876
greedy decoded_output:very, ctc decoded_output: every, target:every, probability: 0.4189393896748325
greedy decoded_output:every, ctc decoded_output: every, target:every, probability: 0.3676443200774346
greedy decoded_output:very, ctc decoded_output: over, target:order, probability: 0.3276116461892866
greedy decoded_output:very, ctc decoded_output: over, target:order, probability: 0.14901938457836245
greedy decoded_output:over, ctc decoded_output: another, target:another, probability: 0.1284304929768704
greedy decoded_output:another, ctc decoded_output: another, target:another, probability: 0.6344321971538175
greedy decoded_output:another, ctc decoded_output: another, target:another, probability: 0.7024987090906437
greedy decoded_output:often, ctc decoded_output: often, target:often, probability: 0.47462826304531297
greedy decoded_output:often, ctc decoded_output: often, target:often, probability: 0.9202355738688884
greedy decoded_output:often, ctc decoded_output: often, target:often, probability: 0.32849323270015207
greedy decoded_output:often, ctc decoded_output: often, target:often, probability: 0.5292574825121932
greedy decoded_output:often, ctc decoded_output: often, target:often, probability: 0.6919357235886485
greedy decoded_output:into, ctc decoded_output: enjoy, target:enjoy, probability: 0.5574543550910732
greedy decoded_output:enjoy, ctc decoded_output: enjoy, target:enjoy, probability: 0.4239882178050238
greedy decoded_output:enjoy, ctc decoded_output: enjoy, target:enjoy, probability: 0.2920586740650795
greedy decoded_output:carry, ctc decoded_output: very, target:carry, probability: 0.23116897148545848
greedy decoded_output:carry, ctc decoded_output: carry, target:carry, probability: 0.5859746788370537
greedy decoded_output:carry, ctc decoded_output: carry, target:carry, probability: 0.4266689622348382
greedy decoded_output:carry, ctc decoded_output: carry, target:carry, probability: 0.2920669398209167
greedy decoded_output:carry, ctc decoded_output: carry, target:carry, probability: 0.9010808113368219
greedy decoded_output:very, ctc decoded_output: very, target:over, probability: 0.18458069458630966
greedy decoded_output:over, ctc decoded_output: over, target:over, probability: 0.5762027787193038
greedy decoded_output:over, ctc decoded_output: over, target:over, probability: 0.3139823912666955
greedy decoded_output:over, ctc decoded_output: over, target:over, probability: 0.32565261982401156
greedy decoded_output:over, ctc decoded_output: over, target:over, probability: 0.47264455441185355
greedy decoded_output:people, ctc decoded_output: people, target:people, probability: 0.7527766927816149
greedy decoded_output:people, ctc decoded_output: people, target:people, probability: 0.9227031825391502
greedy decoded_output:people, ctc decoded_output: people, target:people, probability: 0.9579390298047367
greedy decoded_output:people, ctc decoded_output: people, target:people, probability: 0.8174387571108795
greedy decoded_output:table, ctc decoded_output: table, target:table, probability: 0.09164823817707475
greedy decoded_output:table, ctc decoded_output: table, target:table, probability: 0.47586099628810535
greedy decoded_output:table, ctc decoded_output: table, target:table, probability: 0.7782184935058156
greedy decoded_output:very, ctc decoded_output: very, target:very, probability: 0.5017113569519275
greedy decoded_output:very, ctc decoded_output: very, target:very, probability: 0.3262866241617713
greedy decoded_output:very, ctc decoded_output: very, target:very, probability: 0.5261404036036029
greedy decoded_output:carry, ctc decoded_output: very, target:very, probability: 0.384416649260703
greedy decoded_output:become, ctc decoded_output: become, target:become, probability: 0.6114324338470305
greedy decoded_output:become, ctc decoded_output: become, target:become, probability: 0.5672802201962621
greedy decoded_output:morning, ctc decoded_output: morning, target:morning, probability: 0.4638118971486149
greedy decoded_output:morning, ctc decoded_output: morning, target:morning, probability: 0.53795172367866
greedy decoded_output:morning, ctc decoded_output: morning, target:morning, probability: 0.8246979249276706
greedy decoded_output:after, ctc decoded_output: after, target:also, probability: 0.13979512170928587
greedy decoded_output:also, ctc decoded_output: also, target:also, probability: 0.8340960612010724
greedy decoded_output:also, ctc decoded_output: also, target:also, probability: 0.7510485547109632
greedy decoded_output:also, ctc decoded_output: also, target:also, probability: 0.7175710308131301
greedy decoded_output:water, ctc decoded_output: water, target:water, probability: 0.37989064385148064
greedy decoded_output:water, ctc decoded_output: water, target:water, probability: 0.39579370597057706
greedy decoded_output:water, ctc decoded_output: water, target:water, probability: 0.6114120824486324
greedy decoded_output:water, ctc decoded_output: water, target:water, probability: 0.44629989735544995
greedy decoded_output:water, ctc decoded_output: water, target:water, probability: 0.23807386750152273
greedy decoded_output:study, ctc decoded_output: study, target:study, probability: 0.7330777262218913
greedy decoded_output:study, ctc decoded_output: study, target:study, probability: 0.9301890269357486
greedy decoded_output:nothing, ctc decoded_output: nothing, target:nothing, probability: 0.47027886763992904
greedy decoded_output:another, ctc decoded_output: nothing, target:nothing, probability: 0.24416850857032568
greedy decoded_output:often, ctc decoded_output: nothing, target:nothing, probability: 0.7719393196796757
Test Accuracy: 91.95%
